Indian Institute of Management Indore,Madhya Pradesh,Indore,http://www.iimidr.ac.in/
"Indian Institute of Science Education and Research, Bhopal",Madhya Pradesh,Bhopal,http://www.iiserb.ac.in/
Indian Institute of Technology Indore,Madhya Pradesh,Indore,http://www.iiti.ac.in
Maulana Azad National Institute of Technology,Madhya Pradesh,Bhopal,http://www.manit.ac.in
Sikkim University,Sikkim,Gangtok,http://www.cus.ac.in/
Sikkim Manipal University,Sikkim,Gangtok,http://smude.edu.in/
Eastern Institute for Integrated Learning in Management University,Sikkim,Jorethang,http://www.eiilmuniversity.ac.in
Alagappa University,Tamil Nadu,Alagappa University,http://www.alagappauniversity.ac.in
Anna University,Tamil Nadu,Anna University,http://www.annauniv.edu
Annamalai University,Tamil Nadu,Annamalai University,http://www.annamalaiuniversity.ac.in
Bharathiar University,Tamil Nadu,Bharathiar University,http://www.b-u.ac.in
Bharathidasan University,Tamil Nadu,Bharathidasan University,http://www.bdu.ac.in/
Madurai Kamaraj University,Tamil Nadu,Madurai Kamaraj University,http://www.mkuniversity.org
Manonmaniam Sundaranar University,Tamil Nadu,Manonmaniam Sundaranar University,http://www.msuniv.ac.in
Mother Teresa Women's University,Tamil Nadu,Mother Teresa Women's University,http://www.motherteresawomenuniv.ac.in
The Tamil Nadu Dr. M. G. R. Medical University,Tamil Nadu,The Tamil Nadu Dr. M. G. R. Medical University,http://www.tnmgrmu.ac.in
Tamil Nadu Dr. Ambedkar Law University,Tamil Nadu,Tamil Nadu Dr. Ambedkar Law University,http://www.tndalu.ac.in/
Tamil Nadu Agricultural University,Tamil Nadu,Tamil Nadu Agricultural University,http://www.tnau.ac.in/
Periyar University,Tamil Nadu,Periyar University,http://www.periyaruniversity.ac.in
Tamil Nadu Veterinary and Animal Sciences University,Tamil Nadu,Tamil Nadu Veterinary and Animal Sciences University,http://www.tanuvas.ac.in/
Tamil University,Tamil Nadu,Tamil University,http://www.tamiluniversity.ac.in
Thiruvalluvar University,Tamil Nadu,Thiruvalluvar University,http://www.thiruvalluvaruniversity.ac.in
University of Madras,Tamil Nadu,University of Madras,http://www.unom.ac.in/
Tamil Nadu Teachers Education University,Tamil Nadu,Tamil Nadu Teachers Education University,http://www.tnteu.in
Tamil Nadu Open University,Tamil Nadu,Tamil Nadu Open University,http://www.tnou.ac.in
Tamil Nadu Physical Education and Sports University,Tamil Nadu,Tamil Nadu Physical Education and Sports University,http://www.tnpesu.org
Tamil Nadu Horticulture University,Tamil Nadu,Tamil Nadu Horticulture University,http://tanhu.in
Tamil Nadu Fisheries University,Tamil Nadu,Tamil Nadu Fisheries University,http://www.tnfu.ac.in
Madras University,Tamil Nadu,Madras University,http://www.unom.ac.in/
Indian Institute of Technology Madras,Tamil Nadu,Indian Institute of Technology Madras,http://www.iitm.ac.in/
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Tamil Nadu,"Indian Institute of Information Technology, Design & Manufacturing",http://www.iiitdm.ac.in/
National Institute of Technology Tiruchirappalli,Tamil Nadu,National Institute of Technology Tiruchirappalli,http://www.nitt.edu
Indian Institute of Management Tiruchirappalli,Tamil Nadu,Indian Institute of Management Tiruchirappalli,http://www.iimtrichy.ac.in
Central University of Tamil Nadu,Tamil Nadu,Central University of Tamil Nadu,http://www.cutn.ac.in/
Indian Institute of Crop Processing Technology,Tamil Nadu,Indian Institute of Crop Processing Technology,http://www.iicpt.edu.in/
Bharathidasan Institute of Management,Tamil Nadu,Bharathidasan Institute of Management,http://www.bim.edu/
Bharathidasan Institute of Management,Tamil Nadu,Bharathidasan Institute of Management,http://www.bim.edu/
National Institute of Fashion Technology,Tamil Nadu,National Institute of Fashion Technology,http://www.nift.ac.in
Central Institute of Brackish Water Aquaculture,Tamil Nadu,Central Institute of Brackish Water Aquaculture,http://ciba.res.in
"Institute of Mathematical Sciences, Chennai",Tamil Nadu,Institute of Mathematical Sciences,http://www.imsc.res.in
Indian Maritime University,Tamil Nadu,Indian Maritime University,http://www.imu.nic.in/
Central Institute of Plastics Engineering and Technology (India),Tamil Nadu,Central Institute of Plastics Engineering and Technology (India),http://www.cipet.gov.in
Chennai Mathematical Institute,Tamil Nadu,Chennai Mathematical Institute (Deemed),http://www.cmi.ac.in
Madras Institute of Development Studies,Tamil Nadu,Madras Institute of Development Studies (MIDS) (Autonomous),http://www.mids.ac.in/
Central Electro Chemical Research Institute,Tamil Nadu,Central Electro Chemical Research Institute (Autonomous),http://www.cecri.res.in/
